task,model,format,file,error,error_message
character,falcon,json,27.txt,empty_response,Expecting property name enclosed in double quotes: line 6 column 39 (char 142)
character,falcon,json,34.txt,empty_response,No JSON content found
character,falcon,json,37.txt,empty_response,Extra data: line 25 column 1 (char 583)
character,falcon,json,54.txt,key_completeness,The key 'game' is missing.
character,falcon,json,95.txt,empty_response,Extra data: line 10 column 1 (char 158)
character,falcon,json,99.txt,empty_response,Extra data: line 39 column 1 (char 1008)
character,falcon,xml,11.txt,incorrect_syntax,"mismatched tag: line 8, column 36"
character,falcon,xml,14.txt,incorrect_syntax,"mismatched tag: line 7, column 30"
character,falcon,xml,15.txt,incorrect_syntax,"mismatched tag: line 6, column 20"
character,falcon,xml,25.txt,incorrect_syntax,"mismatched tag: line 8, column 31"
character,falcon,xml,27.txt,key_completeness,The key 'game' is not a dictionary.
character,falcon,xml,28.txt,incorrect_syntax,"not well-formed (invalid token): line 11, column 22"
character,falcon,xml,29.txt,incorrect_syntax,"not well-formed (invalid token): line 15, column 1"
character,falcon,xml,3.txt,key_completeness,The key 'character' is missing.
character,falcon,xml,30.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,31.txt,incorrect_syntax,"syntax error: line 3, column 2"
character,falcon,xml,32.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 9"
character,falcon,xml,33.txt,incorrect_syntax,"mismatched tag: line 5, column 37"
character,falcon,xml,34.txt,incorrect_syntax,"mismatched tag: line 12, column 20"
character,falcon,xml,36.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 2"
character,falcon,xml,39.txt,incorrect_syntax,"mismatched tag: line 9, column 63"
character,falcon,xml,4.txt,incorrect_syntax,"not well-formed (invalid token): line 6, column 23"
character,falcon,xml,40.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,41.txt,incorrect_syntax,"not well-formed (invalid token): line 3, column 43"
character,falcon,xml,42.txt,incorrect_syntax,"mismatched tag: line 8, column 22"
character,falcon,xml,43.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,44.txt,incorrect_syntax,"not well-formed (invalid token): line 6, column 0"
character,falcon,xml,47.txt,incorrect_syntax,"not well-formed (invalid token): line 6, column 31"
character,falcon,xml,50.txt,incorrect_syntax,"mismatched tag: line 12, column 3"
character,falcon,xml,51.txt,incorrect_syntax,"junk after document element: line 3, column 0"
character,falcon,xml,52.txt,empty_response,No XML content found
character,falcon,xml,53.txt,incorrect_syntax,"not well-formed (invalid token): line 10, column 5"
character,falcon,xml,54.txt,incorrect_syntax,"not well-formed (invalid token): line 7, column 13"
character,falcon,xml,55.txt,incorrect_syntax,"mismatched tag: line 8, column 14"
character,falcon,xml,58.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 1"
character,falcon,xml,6.txt,incorrect_syntax,"mismatched tag: line 37, column 3"
