

## Input format
```markdown
[QUEST]
[SYS]
```

## Examples
```markdown
[QUEST]
<</QUEST>>
[SYS]
<</SYS>>
```

## Errors

### Missing input
If you do not input anything, the program will not run.

### Missing information
If you do not input the required information, the program will not run.

### Incorrect information
If you input incorrect information, the program will not run.

### Invalid information
If you input invalid information, the program will not run.

### Invalid input
If you input invalid input, the program will not run.

### Invalid output
If you input invalid output, the program will not run.

### Invalid output format
If you input invalid output format, the program will not run.

### Invalid XML
If you input invalid XML, the program will not run.

### Invalid XML format
If you input invalid XML format, the program will not run.

### Invalid XML structure
If you input invalid XML structure, the program will not run.

### Invalid XML data
If you input invalid XML data, the program will not run.

### Invalid XML data type
If you input invalid XML data type, the program will not run.

### Invalid XML element
If you input invalid XML element, the program will not run.

### Invalid XML attribute
If you input invalid XML attribute, the program will not run.

### Invalid XML value
If you input invalid XML value, the program will not run.

### Invalid XML value type
If you input invalid XML value type, the program will not run.

### Invalid XML value length
If you input invalid XML value length, the program will not run.

### Invalid XML value format
If you input invalid XML value format, the program will not run.

### Invalid XML value content
If you input invalid XML value content, the program will not run.

### Invalid XML value content type
If you input invalid XML value content type, the program will not run.

### Invalid XML value content length
If you input invalid XML value content length, the program will not run.

### Invalid XML value content format
If you input invalid XML value content format, the program will not run.

### Invalid XML value content content
If you input invalid XML value content content, the program will not run.

### Invalid XML value content content type
If you input invalid XML value content content type, the program will not run.

### Invalid XML value content content length
If you input invalid XML value content content length, the program will not run.

### Invalid XML value content content format
If you input invalid XML value content content format, the program will not run.

### Invalid XML value content content content
If you input invalid XML value content content content, the program will not run.

### Invalid XML value content content content type
If you input invalid XML value content content content type, the program will not run.

### Invalid XML value content content content length
If you input invalid XML value content content content length, the program will not run.

### Invalid XML value content content content format
If you input invalid XML value content content content format, the program will not run.

### Invalid XML value content content content content
If you input invalid XML value content content content content, the program will not run.

### Invalid XML value content content content content type
If you input invalid XML value content content content content type, the program will not run.

### Invalid XML value content content content content length
If you input invalid XML value content content content content length, the program will not run.

### Invalid XML value content content content content format
If you input invalid XML value content content content content format, the program will not run.

### Invalid XML value content content content content content
If you input invalid XML value content content content content content, the program will not run.

### Invalid XML value content content content content content type
If you input invalid XML value content content content content content type, the program will not run.

### Invalid XML value content content content content content length
If you input invalid XML value content content content content content length, the program will not run.

### Invalid XML value content content content content content format
If you input invalid XML value content content content content content format, the program will not run.

### Invalid XML value content content content content content content
If you input invalid XML value content content content content content content, the program will not run.

### Invalid XML value content content content content content content type
If you input invalid XML value content content content content content content type, the program will not run.

### Invalid XML value content content content content content content length
If you input invalid XML value content content content content content content length, the program will not run.

### Invalid XML value content content content content content content format
If you input invalid XML value content content content content content content format, the program will not run.

### Invalid XML value content content content content content content content
If you input invalid XML value content content content content content content content, the program will not run.

### Invalid XML value content content content content content content content type
If you input invalid XML value content content content content content content content type, the program will not run.

### Invalid XML value content content content content content content content length
If you input invalid XML value content content content content content content content length, the program will not run.

### Invalid XML value content content content content content content content format
If you input invalid XML value content content content content content content content format, the program will not run.

### Invalid XML value content content content content content content content content
If you input invalid XML value content content content content content content content content, the program will not run.

### Invalid XML value content content content content content content content content type
If you input invalid XML value content content content content content content content content type, the program will not run.

### Invalid XML value content content content content content content content content length
If you input invalid XML value content content content content content content content content length, the program will not run.

### Invalid XML value content content content content content content content content format
If you input invalid XML value content content content content content content content content format, the program will not run.

### Invalid XML value content content content content content content content content content content
If you input invalid XML value content content content content content content content content content content, the program will not run.

### Invalid XML value content content content content content content content content content content type
If you input invalid XML value content content content content content content content content content content type, the program will not run.

### Invalid XML value content content content content content content content content content content length
If you input invalid XML value content content content content content content content content content content length, the program will not run.

### Invalid XML value content content content content content content content content content content format
If you input invalid XML value content content content content content content content content content content format, the program will not run.

### Invalid XML value content content content content content content content content content content content content
If you input invalid XML value content content content content content content content content content content content content, the program will not run.

### Invalid XML value content content content content content content content content content content content content type
If you input invalid XML value content content content content content content content content content content content type, the program will not run.

### Invalid XML value content content content content content content content content content content content content length
If you input invalid XML value content content content content content content content content content content content content length, the program will not run.

### Invalid XML value content content content content content content content content content content content content format
If you input invalid XML value content content content content content content content content content content content format, the program will not run.

### Invalid XML value content content content content content content content content content content content content content content
If you input invalid XML value content content content content content content content content content content content content content, the program will not run.

### Invalid XML value content content content content content content content content content content content content content content type
If you input invalid XML value content content content content content content content content content content content content content type, the program will not run.

### Invalid XML value content content content content content content content content content content content content content content length
If you input invalid XML value content content content content content content content content content content content content content length, the program will not run.

### Invalid XML value content content content content content content content content content content content content content content format
If you input invalid XML value content content content content content content content content content content content content content format, the program will not run.

### Invalid XML value content content content content content content content content content content content content content content content content
If you input invalid XML value content content content content content content content content content content content content content content content, the program will not run.

### Invalid XML value content content content content content content content content content content content content content content content content type
If you input invalid XML value content content content content content content content content content content content content content content content type, the program will not run.

### Invalid XML value content content content content content content content content content content content content content content content content length
If you input invalid XML value content content content content content content content content content content content content content content content length, the program will not run.

### Invalid XML value content content content content content content content content content content content content content content content content content format
If you input invalid XML value content content content content content content content content content content content content content content content content format, the program will not run.

### Invalid XML value content content content content content content content content content content content content content content content content content content content
If you input invalid XML value content content content content content content content content content content content content content content content content content content, the program will not run.

