task,model,format,file,error,error_message
character,falcon,json,54.txt,empty_response,Expecting property name enclosed in double quotes: line 16 column 37 (char 534)
character,falcon,json,95.txt,empty_response,Expecting property name enclosed in double quotes: line 8 column 26 (char 200)
character,falcon,json,99.txt,empty_response,Expecting property name enclosed in double quotes: line 16 column 36 (char 539)
character,falcon,xml,11.txt,incorrect_syntax,"not well-formed (invalid token): line 15, column 20"
character,falcon,xml,14.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,15.txt,incorrect_syntax,"not well-formed (invalid token): line 7, column 21"
character,falcon,xml,25.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 25"
character,falcon,xml,27.txt,incorrect_syntax,"not well-formed (invalid token): line 7, column 22"
character,falcon,xml,28.txt,incorrect_syntax,"not well-formed (invalid token): line 9, column 10"
character,falcon,xml,3.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 23"
character,falcon,xml,31.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 30"
character,falcon,xml,32.txt,incorrect_syntax,"not well-formed (invalid token): line 16, column 28"
character,falcon,xml,34.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 30"
character,falcon,xml,35.txt,incorrect_syntax,"mismatched tag: line 11, column 83"
character,falcon,xml,36.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 10"
character,falcon,xml,39.txt,incorrect_syntax,"mismatched tag: line 7, column 21"
character,falcon,xml,4.txt,incorrect_syntax,"not well-formed (invalid token): line 13, column 30"
character,falcon,xml,40.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 28"
character,falcon,xml,41.txt,incorrect_syntax,"mismatched tag: line 9, column 25"
character,falcon,xml,42.txt,incorrect_syntax,"mismatched tag: line 8, column 23"
character,falcon,xml,44.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 28"
character,falcon,xml,51.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,52.txt,incorrect_syntax,"not well-formed (invalid token): line 7, column 21"
character,falcon,xml,53.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 28"
character,falcon,xml,55.txt,incorrect_syntax,"not well-formed (invalid token): line 16, column 29"
character,falcon,xml,58.txt,incorrect_syntax,"not well-formed (invalid token): line 9, column 13"
character,falcon,xml,6.txt,incorrect_syntax,"mismatched tag: line 7, column 19"
character,falcon,xml,65.txt,incorrect_syntax,"mismatched tag: line 9, column 76"
character,falcon,xml,66.txt,incorrect_syntax,"not well-formed (invalid token): line 13, column 31"
character,falcon,xml,69.txt,incorrect_syntax,"not well-formed (invalid token): line 16, column 30"
character,falcon,xml,70.txt,incorrect_syntax,"not well-formed (invalid token): line 7, column 18"
character,falcon,xml,71.txt,incorrect_syntax,"mismatched tag: line 14, column 23"
character,falcon,xml,72.txt,incorrect_syntax,"not well-formed (invalid token): line 3, column 22"
character,falcon,xml,74.txt,incorrect_syntax,"not well-formed (invalid token): line 16, column 28"
character,falcon,xml,77.txt,incorrect_syntax,"mismatched tag: line 6, column 40"
character,falcon,xml,81.txt,incorrect_syntax,"not well-formed (invalid token): line 16, column 25"
character,falcon,xml,83.txt,incorrect_syntax,"not well-formed (invalid token): line 16, column 25"
character,falcon,xml,84.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 29"
character,falcon,xml,89.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 32"
character,falcon,xml,9.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 25"
character,falcon,xml,90.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 25"
character,falcon,xml,92.txt,incorrect_syntax,"not well-formed (invalid token): line 16, column 25"
character,falcon,xml,93.txt,incorrect_syntax,"not well-formed (invalid token): line 7, column 22"
character,falcon,xml,98.txt,incorrect_syntax,"not well-formed (invalid token): line 8, column 13"
character,falcon,yaml,2.txt,incorrect_syntax,"while scanning a simple key
  in ""<unicode string>"", line 13, column 5:
        role:英雄救美
        ^
could not find expected ':'
  in ""<unicode string>"", line 14, column 5:
        species: humanoid
        ^"
character,falcon,yaml,23.txt,incorrect_syntax,"while scanning a block scalar
  in ""<unicode string>"", line 3, column 31:
        age: ""exact age in years"" | age (with optional months) or  ... 
                                  ^
expected a comment or a line break, but found 'a'
  in ""<unicode string>"", line 3, column 33:
        age: ""exact age in years"" | age (with optional months) or ""a ... 
                                    ^"
character,falcon,yaml,25.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 20, column 1:
    ```
    ^"
character,falcon,yaml,26.txt,incorrect_syntax,"while scanning a simple key
  in ""<unicode string>"", line 4, column 5:
        background:Born into a family of ... 
        ^
could not find expected ':'
  in ""<unicode string>"", line 5, column 5:
        first_name: John
        ^"
character,falcon,yaml,28.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 25:
        age: exact_age_value: 35
                            ^"
character,falcon,yaml,29.txt,incorrect_syntax,"while scanning a simple key
  in ""<unicode string>"", line 13, column 5:
        place_of_birth:哈尔滨 (Location cha ... 
        ^
could not find expected ':'
  in ""<unicode string>"", line 14, column 5:
        role: Warrior
        ^"
character,falcon,yaml,33.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: blue
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 13, column 7:
          species: Dragonborn
          ^"
character,falcon,yaml,4.txt,incorrect_syntax,"while scanning a simple key
  in ""<unicode string>"", line 4, column 5:
        background:次数描述，曾经在电视节目和电影中活跃，现在 ... 
        ^
could not find expected ':'
  in ""<unicode string>"", line 5, column 5:
        first_name: Max
        ^"
character,falcon,yaml,45.txt,incorrect_syntax,"while parsing a flow mapping
  in ""<unicode string>"", line 25, column 11:
        name: {
              ^
expected ',' or '}', but got '<scalar>'
  in ""<unicode string>"", line 27, column 7:
          last_name: ""Johnson""
          ^"
character,falcon,yaml,53.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 17, column 1:
    ```
    ^"
character,falcon,yaml,54.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,6.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,61.txt,incorrect_syntax,"expected a single document in the stream
  in ""<unicode string>"", line 2, column 1:
    game:
    ^
but found another document
  in ""<unicode string>"", line 17, column 1:
    ---
    ^"
character,falcon,yaml,65.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 14, column 1:
    ```
    ^"
character,falcon,yaml,66.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 28:
        age: exact_age (example: 25)
                               ^"
character,falcon,yaml,73.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 5, column 195:
     ... His physical appearance includes:
                                         ^"
character,falcon,yaml,83.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,88.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 11, column 1:
    ```
    ^"
character,falcon,yaml,89.txt,key_completeness,The key 'character' is missing.
