task,model,format,file,error,error_message
character,falcon,xml,28.txt,incorrect_syntax,"not well-formed (invalid token): line 15, column 24"
character,falcon,xml,29.txt,incorrect_syntax,"not well-formed (invalid token): line 13, column 18"
character,falcon,xml,30.txt,incorrect_syntax,"not well-formed (invalid token): line 13, column 18"
character,falcon,xml,71.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 17"
character,falcon,xml,79.txt,incorrect_syntax,"not well-formed (invalid token): line 13, column 18"
character,falcon,yaml,2.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,23.txt,incorrect_syntax,"while scanning a block scalar
  in ""<unicode string>"", line 3, column 10:
        age: |bold
             ^
expected chomping or indentation indicators, but found 'b'
  in ""<unicode string>"", line 3, column 11:
        age: |bold
              ^"
character,falcon,yaml,29.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: green
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 11, column 7:
          height: 5'10""
          ^"
character,falcon,yaml,45.txt,key_completeness,The key 'character' is missing.
character,falcon,yaml,62.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 10, column 6:
         - eye_color: eye color
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 11, column 7:
          hair_color: hair color
          ^"
character,falcon,yaml,93.txt,key_completeness,The key 'character' is missing.
character,gemini-pro,yaml,70.txt,key_completeness,The key 'game' is not a dictionary.
character,gpt-3.5-turbo,yaml,44.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: blue
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: brown
          ^"
character,gpt-3.5-turbo,yaml,56.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: brown
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: brown
          ^"
character,gpt-3.5-turbo,yaml,99.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: blue
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: brown
          ^"
character,llama-2,xml,11.txt,incorrect_syntax,"mismatched tag: line 14, column 23"
character,llama-2,xml,27.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 20"
character,llama-2,xml,52.txt,incorrect_syntax,"mismatched tag: line 14, column 29"
character,llama-2,xml,74.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 18"
character,llama-2,yaml,100.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: blue
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: brown
          ^"
character,llama-2,yaml,13.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: brown
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: black
          ^"
character,llama-2,yaml,14.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: brown
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: brown
          ^"
character,llama-2,yaml,17.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: blue
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: brown
          ^"
character,llama-2,yaml,21.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: brown
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: black
          ^"
character,llama-2,yaml,22.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: blue
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: blonde
          ^"
character,llama-2,yaml,25.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: eye color
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: hair color
          ^"
