task,model,format,file,error,error_message
character,falcon,json,27.txt,empty_response,No JSON content found
character,falcon,json,34.txt,empty_response,No JSON content found
character,falcon,json,37.txt,empty_response,Extra data: line 25 column 1 (char 755)
character,falcon,json,54.txt,empty_response,No JSON content found
character,falcon,json,95.txt,empty_response,Expecting property name enclosed in double quotes: line 6 column 25 (char 108)
character,falcon,json,99.txt,empty_response,Extra data: line 23 column 1 (char 663)
character,falcon,xml,11.txt,empty_response,No XML content found
character,falcon,xml,14.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 0"
character,falcon,xml,15.txt,incorrect_syntax,"not well-formed (invalid token): line 12, column 43"
character,falcon,xml,17.txt,empty_response,No XML content found
character,falcon,xml,25.txt,empty_response,No XML content found
character,falcon,xml,27.txt,empty_response,No XML content found
character,falcon,xml,28.txt,empty_response,No XML content found
character,falcon,xml,29.txt,key_completeness,The key 'character' is missing.
character,falcon,xml,3.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,30.txt,empty_response,No XML content found
character,falcon,xml,31.txt,incorrect_syntax,"not well-formed (invalid token): line 5, column 25"
character,falcon,xml,33.txt,empty_response,No XML content found
character,falcon,xml,34.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 1"
character,falcon,xml,35.txt,empty_response,No XML content found
character,falcon,xml,36.txt,empty_response,No XML content found
character,falcon,xml,39.txt,empty_response,No XML content found
character,falcon,xml,4.txt,empty_response,No XML content found
character,falcon,xml,40.txt,empty_response,No XML content found
character,falcon,xml,41.txt,empty_response,No XML content found
character,falcon,xml,42.txt,empty_response,No XML content found
character,falcon,xml,43.txt,incorrect_syntax,"not well-formed (invalid token): line 3, column 214"
character,falcon,xml,44.txt,empty_response,No XML content found
character,falcon,xml,47.txt,empty_response,No XML content found
character,falcon,xml,50.txt,empty_response,No XML content found
character,falcon,xml,51.txt,incorrect_syntax,"not well-formed (invalid token): line 11, column 30"
character,falcon,xml,52.txt,empty_response,No XML content found
character,falcon,xml,53.txt,empty_response,No XML content found
character,falcon,xml,54.txt,empty_response,No XML content found
character,falcon,xml,55.txt,empty_response,No XML content found
character,falcon,xml,58.txt,incorrect_syntax,"unclosed token: line 48, column 21"
character,falcon,xml,6.txt,empty_response,No XML content found
character,falcon,xml,62.txt,empty_response,No XML content found
character,falcon,xml,64.txt,incorrect_syntax,"mismatched tag: line 8, column 3"
character,falcon,xml,65.txt,empty_response,No XML content found
character,falcon,xml,69.txt,empty_response,No XML content found
character,falcon,xml,70.txt,incorrect_syntax,"not well-formed (invalid token): line 5, column 39"
character,falcon,xml,71.txt,empty_response,No XML content found
character,falcon,xml,72.txt,empty_response,No XML content found
character,falcon,xml,73.txt,empty_response,No XML content found
character,falcon,xml,74.txt,empty_response,No XML content found
character,falcon,xml,77.txt,incorrect_syntax,"not well-formed (invalid token): line 10, column 34"
character,falcon,xml,78.txt,empty_response,No XML content found
character,falcon,xml,79.txt,empty_response,No XML content found
character,falcon,xml,81.txt,incorrect_syntax,"not well-formed (invalid token): line 5, column 25"
character,falcon,xml,83.txt,incorrect_syntax,"not well-formed (invalid token): line 23, column 0"
character,falcon,xml,84.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 3"
character,falcon,xml,88.txt,empty_response,No XML content found
character,falcon,xml,89.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,9.txt,incorrect_syntax,"mismatched tag: line 15, column 28"
character,falcon,xml,90.txt,empty_response,No XML content found
character,falcon,xml,91.txt,empty_response,No XML content found
character,falcon,xml,92.txt,empty_response,No XML content found
character,falcon,xml,93.txt,incorrect_syntax,"not well-formed (invalid token): line 3, column 198"
character,falcon,xml,96.txt,incorrect_syntax,"mismatched tag: line 13, column 22"
character,falcon,xml,98.txt,incorrect_syntax,"not well-formed (invalid token): line 15, column 69"
character,falcon,yaml,10.txt,empty_response,No YAML content found
character,falcon,yaml,13.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 26, column 1:
    ```
    ^"
character,falcon,yaml,15.txt,empty_response,No YAML content found
character,falcon,yaml,16.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 16, column 1:
    ```
    ^"
character,falcon,yaml,17.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 16, column 9:
            relationships: [
            ^
expected <block end>, but found ','
  in ""<unicode string>"", line 20, column 10:
            ],
             ^"
character,falcon,yaml,2.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 3, column 1:
    ```yaml
    ^"
character,falcon,yaml,20.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 8, column 15:
            height: 5'7'' as int
                  ^"
character,falcon,yaml,22.txt,empty_response,No YAML content found
character,falcon,yaml,23.txt,empty_response,No YAML content found
character,falcon,yaml,24.txt,empty_response,No YAML content found
character,falcon,yaml,25.txt,empty_response,No YAML content found
character,falcon,yaml,26.txt,empty_response,No YAML content found
character,falcon,yaml,28.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 16, column 1:
    ```
    ^"
character,falcon,yaml,29.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 10, column 10:
             - eye_color: brown
             ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 11, column 11:
              hair_color: black
              ^"
character,falcon,yaml,3.txt,empty_response,No YAML content found
character,falcon,yaml,32.txt,empty_response,No YAML content found
character,falcon,yaml,33.txt,empty_response,No YAML content found
character,falcon,yaml,37.txt,empty_response,No YAML content found
character,falcon,yaml,4.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 2, column 5:
    game:
        ^"
character,falcon,yaml,41.txt,empty_response,No YAML content found
character,falcon,yaml,45.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 5:
        - id: 1
        ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 20, column 5:
        place_of_birth: London
        ^"
character,falcon,yaml,48.txt,key_completeness,The key 'character' is missing.
character,falcon,yaml,51.txt,empty_response,No YAML content found
character,falcon,yaml,52.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 3, column 7:
        - name: My Character's Name
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 5, column 26:
          background: ""Expy"" (background story)
                             ^"
character,falcon,yaml,53.txt,empty_response,No YAML content found
character,falcon,yaml,54.txt,empty_response,No YAML content found
character,falcon,yaml,56.txt,empty_response,No YAML content found
character,falcon,yaml,6.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 10, column 17:
          hair_color: hair color
                    ^"
character,falcon,yaml,61.txt,incorrect_syntax,"while scanning a simple key
  in ""<unicode string>"", line 15, column 5:
        animal_type_name
        ^
could not find expected ':'
  in ""<unicode string>"", line 16, column 1:
    
    ^"
character,falcon,yaml,62.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 10, column 6:
         - eye_color: brown
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 11, column 7:
          hair_color: black
          ^"
character,falcon,yaml,65.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 2, column 12:
    - character:
               ^"
character,falcon,yaml,66.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: brown
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: black
          ^"
character,falcon,yaml,69.txt,empty_response,No YAML content found
character,falcon,yaml,72.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 5, column 231:
     ...  as she can. physical_appearance:
                                         ^"
character,falcon,yaml,79.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 10, column 7:
          - eye_color: green
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 14, column 7:
          place_of_birth: Greenhill, Earth ... 
          ^"
character,falcon,yaml,81.txt,empty_response,No YAML content found
character,falcon,yaml,82.txt,empty_response,No YAML content found
character,falcon,yaml,83.txt,empty_response,No YAML content found
character,falcon,yaml,88.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,89.txt,empty_response,No YAML content found
character,falcon,yaml,9.txt,empty_response,No YAML content found
character,falcon,yaml,93.txt,key_completeness,The key 'character' is missing.
character,falcon,yaml,94.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 9, column 15:
       - eye_color: eye color `(e. g. `eye_color:  ... 
                  ^"
character,falcon,yaml,95.txt,empty_response,No YAML content found
character,falcon,yaml,97.txt,key_completeness,The key 'game' is missing.
character,gemini-pro,yaml,25.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 8:
           - eye_color: blue
           ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 9:
            hair_color: dark
            ^"
character,gemini-pro,yaml,70.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 10, column 17:
          hair_color: black
                    ^"
character,gpt-3.5-turbo,xml,22.txt,empty_response,No XML content found
character,gpt-3.5-turbo,xml,29.txt,empty_response,No XML content found
