<pre><code>[enemy]
name: enemyl1
hp: 20
mp: 2
atk: 1
def: 0
spd: 0
hp: 20
mp: 2
atk: 1
def: 0
spd: 0
hp: 20
mp: 2
atk: 1
def: 0
spd: 0
hp: 20
mp: 2
atk: 1
def: 0
spd: 0
hp: 20
mp: 2
atk: 1
def: 0
spd: 0
hp: 20
mp: 2
atk: 1
def: 0
spd: 0
hp: 20
mp: 2
atk: 1
def: 0
spd: 0
hp: 20
mp: 2
atk: 1
def: 0
spd: 0
hp: 20
mp: 2
atk: 1
def: 0
spd: 0
hp: 10
mp: 2
atk: 0
hp: 10
mp: 2
hp: 10
atk: 0
mp: 2
hp: 10
mp: 2
hp: 10
atk: 0
mp: 2
hp: 10
atk: 0
hp: 30
mp: 2
hp: 30
mp: 2
hp: 30
mp: 2
hp: 30
mp: 2
hp: 30
mp: 2
hp: 30
hp: 30
mp: 2
hp: 30
hp: 30
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 200
hp: 200
hp: 200
hp: 200
hp: 200
hp: 200
hp: 200
hp: 40
hp: 100
hp: 200
hp: 600
hp: 200
hp: 100
hp: 200
hp: 10
hp: 200
hp: 200
hp: 200
hp: 100
hp: 100
mp: 2
hp: 100
mp: 2
hp: 100
mp: 2
hp: 100
hp: 2
hp: 100
hp: 100
hp: 100
hp: 100
hp: 50
hp: 100
hp: 50
hp: 50
hp: 100
hp: 50
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
atk: 0
spd: 0
mp: 2
hp: 15
hp: 1
hp: 20
hp: 1
hp: 25
hp: 15
hp: 15
hp: 15
hp: 15
hp: 15
hp: 15
hp: 15
hp: 15
hp: 15
hp: 15
hp: 15
hp: 15
hp: 15
hp: 15
hp: 15
hp: 5
hp: 100
hp: 100
hp: 100
hp: 100
hp: 120
hp: 15
mp: 10
hp: 25
hp: 25
hp: 25
mp: 5
hp: 25
hp: 25
hp: 25
mp: 5
hp: 25
hp: 25
hp: 25
hp: 25
hp: 25
hp: 25
hp: 25
hp: 25
hp: 20
enemy:
hp: 50
mp: 1
hp: 50
hp: 30
hp: 50
hp: 30
atk: 1
spd: 1
hp: 25
hp: 25
enemy: 20
hp: 25
hp: 25
hp: 25
mp: 1
hp: 50
hp: 5
hp: 5
hp: 5
hp: 5
hp: 5
hp: 5
hp: 10
hp: 5
hp: 5
hp: 5
hp: 25
hp: 25
hp: 25
hp: 25
hp: 25
hp: 5
hp: 25
hp: 20
hp: 20
hp: 25
hp: 25
hp: 100
hp: 100
hp: 3
hp: 100
hp: 100
hp: 100
hp: 90
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 0
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 200
hp: 100
hp: 100
hp: 100
hp: 50
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 25
hp: 50
hp: 50
hp: 100
hp: 100
hp: 20
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 1
mp: 2
mp: 2
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 10
hp: 30
hp: 50
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 25
hp: 15
hp: 100
hs: 2%
hp: 7%
mp: 50
mp: 50
mp: 50
hp: 20
hp: 5
hp: 10
hp: 20
enemy:
hp: 10
mp: 5
hp: 1
hp: 100
hp: 10
hp: 100
hp: 100
hp: 100
hp: 1
hp: 60
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 1
hp: 100
hp: 80
hp: 100
hp: 100
enemy:
hp: 100
hp: 40
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hs: 30
hp: 200
hp: 8
hp: 80
hp: 1
hp: 1
hp: 1
hp: 2
hp: 2
hp: 3
hp: 30
mp: 5
mp: 2
hp: 100
mp: 50
hp: 100
hp: 100
hp: 40
hp: 50
hp: 50
hp: 100
hp: 30
hp: 10
hs: 20
mp: 20
hp: 10
hp: 5
hp: 5
hp: 5
hp: 5
hp: 5
hp: 5
hp: 5
hp: 5
hp: 15
hp: 5
hp: 5
hp: 100
hp: 100
hp: 10
hp: 50
hp: 100
hp: 100
hp: 100
hp: 100
hp: 60
hp: 100
hp: 100
hp: 10
hp: 5
hp: 10
hp: 50
hp: 100
hp: 1
hp: 100
hp: 10
hp: 5
hp: 80
hp: 50
hs: 5
mp: 1
hp: 1
hp: 0
hp: 0
hp: 30
hp: 100
hp: 10
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 100
hp: 10
hp: 20
enemy: 20
hp: 30
hs: 50
hp: 100
hp: 3
hp: 100
hp: 100
hp: 100
hp: 5
hp: 100
hp: 10
hp: 100
hp: 5
hp: 5
hp: 100
hp: 100
hp: 100
hp: 10
hp: 5
hp: 10
hp: 2
hp: 1
hp: 2
hp: 1
hp: 1
hp: 1
hp: 25
hp: 25
hp: 100
hp: 50
hp: 50
hp: 100
hp: 50
hp: 10
hp: 5
hp: 2
hs: 20
hs: 100
hs: 10
hs: 100
hs: 100
hs: 20
hs: 10
hs: 20
hs: 10
hs: 15
hs: 5
hs: 10
hs: 15
hs: 100
hs: 20
hs: 35
hs: 20
hs: 10
hs: 500
hs: 100
hs: 10
hs: 25
hs: 20
hs: 10
hs: 100
hs: 10
hs: 25
hs: 100
hs: 10
hs: 20
hs: 25
hs: 20
hs: 15
hs: 20
hs: 10
hs: 13
hs: 15
hs: 20
hs:
