task,model,format,file,error,error_message
character,falcon,json,27.txt,empty_response,No JSON content found
character,falcon,json,34.txt,empty_response,No JSON content found
character,falcon,json,37.txt,empty_response,No JSON content found
character,falcon,json,54.txt,empty_response,No JSON content found
character,falcon,json,95.txt,empty_response,No JSON content found
character,falcon,json,99.txt,empty_response,No JSON content found
character,falcon,xml,11.txt,incorrect_syntax,"no element found: line 13, column 0"
character,falcon,xml,14.txt,empty_response,No XML content found
character,falcon,xml,15.txt,empty_response,No XML content found
character,falcon,xml,17.txt,incorrect_syntax,"mismatched tag: line 13, column 23"
character,falcon,xml,25.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,27.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,28.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,29.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 0"
character,falcon,xml,3.txt,empty_response,No XML content found
character,falcon,xml,30.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 0"
character,falcon,xml,31.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 1"
character,falcon,xml,32.txt,empty_response,No XML content found
character,falcon,xml,33.txt,incorrect_syntax,"mismatched tag: line 14, column 27"
character,falcon,xml,34.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 1"
character,falcon,xml,35.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 0"
character,falcon,xml,36.txt,empty_response,No XML content found
character,falcon,xml,39.txt,incorrect_syntax,"mismatched tag: line 14, column 27"
character,falcon,xml,4.txt,empty_response,No XML content found
character,falcon,xml,40.txt,empty_response,No XML content found
character,falcon,xml,41.txt,key_completeness,The key 'game' is missing.
character,falcon,xml,42.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,43.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 0"
character,falcon,xml,44.txt,incorrect_syntax,"no element found: line 40, column 0"
character,falcon,xml,50.txt,incorrect_syntax,"not well-formed (invalid token): line 12, column 23"
character,falcon,xml,51.txt,incorrect_syntax,"not well-formed (invalid token): line 17, column 4"
character,falcon,xml,52.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 11"
character,falcon,xml,53.txt,incorrect_syntax,"mismatched tag: line 14, column 28"
character,falcon,xml,54.txt,incorrect_syntax,"mismatched tag: line 17, column 4"
character,falcon,xml,55.txt,incorrect_syntax,"junk after document element: line 2, column 0"
character,falcon,xml,58.txt,incorrect_syntax,"not well-formed (invalid token): line 1, column 1"
character,falcon,xml,6.txt,incorrect_syntax,"duplicate attribute: line 14, column 43"
character,falcon,xml,62.txt,incorrect_syntax,"mismatched tag: line 7, column 78"
character,falcon,xml,64.txt,empty_response,No XML content found
character,falcon,xml,65.txt,incorrect_syntax,"mismatched tag: line 13, column 3"
character,falcon,xml,69.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 10"
character,falcon,xml,70.txt,incorrect_syntax,"mismatched tag: line 13, column 30"
character,falcon,xml,71.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,72.txt,empty_response,No XML content found
character,falcon,xml,73.txt,empty_response,No XML content found
character,falcon,xml,77.txt,incorrect_syntax,"mismatched tag: line 12, column 43"
character,falcon,xml,78.txt,empty_response,No XML content found
character,falcon,xml,79.txt,incorrect_syntax,"mismatched tag: line 14, column 28"
character,falcon,xml,81.txt,incorrect_syntax,"mismatched tag: line 16, column 10"
character,falcon,xml,83.txt,empty_response,No XML content found
character,falcon,xml,84.txt,empty_response,No XML content found
character,falcon,xml,88.txt,empty_response,No XML content found
character,falcon,xml,89.txt,empty_response,No XML content found
character,falcon,xml,9.txt,incorrect_syntax,"mismatched tag: line 13, column 27"
character,falcon,xml,90.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,xml,91.txt,incorrect_syntax,"mismatched tag: line 19, column 6"
character,falcon,xml,92.txt,incorrect_syntax,"mismatched tag: line 18, column 8"
character,falcon,xml,93.txt,incorrect_syntax,"not well-formed (invalid token): line 27, column 4"
character,falcon,xml,96.txt,empty_response,No XML content found
character,falcon,xml,98.txt,incorrect_syntax,"syntax error: line 1, column 0"
character,falcon,yaml,10.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,13.txt,empty_response,No YAML content found
character,falcon,yaml,15.txt,empty_response,No YAML content found
character,falcon,yaml,16.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 5, column 9:
          id: James Sirius Potter
            ^"
character,falcon,yaml,17.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 4, column 1:
    ```
    ^"
character,falcon,yaml,2.txt,empty_response,No YAML content found
character,falcon,yaml,20.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: brown
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: blonde
          ^"
character,falcon,yaml,22.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: eye color
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: hair color
          ^"
character,falcon,yaml,23.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 5, column 18:
          eye_color: `bold`|eye color
                     ^"
character,falcon,yaml,24.txt,incorrect_syntax,"while parsing a flow mapping
  in ""<unicode string>"", line 1, column 1:
    {
    ^
expected ',' or '}', but got '<stream end>'
  in ""<unicode string>"", line 18, column 1:
    
    ^"
character,falcon,yaml,25.txt,incorrect_syntax,"while scanning a block scalar
  in ""<unicode string>"", line 8, column 10:
        age: >-42
             ^
expected chomping or indentation indicators, but found '2'
  in ""<unicode string>"", line 8, column 13:
        age: >-42
                ^"
character,falcon,yaml,26.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 4:
    age: exact age or description
       ^"
character,falcon,yaml,28.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 10, column 6:
         - eye_color: eye color
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 11, column 7:
          hair_color: hair color
          ^"
character,falcon,yaml,29.txt,key_completeness,The key 'character' is missing.
character,falcon,yaml,3.txt,empty_response,No YAML content found
character,falcon,yaml,32.txt,empty_response,No YAML content found
character,falcon,yaml,37.txt,empty_response,No YAML content found
character,falcon,yaml,4.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 2, column 5:
    game:
        ^"
character,falcon,yaml,41.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 24, column 13:
            role: character role of the character
                ^"
character,falcon,yaml,43.txt,key_completeness,The root of the result is not a dictionary.
character,falcon,yaml,45.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 6:
    Error: incorrect_syntax: while scanni ... 
         ^"
character,falcon,yaml,51.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 2, column 1:
    ```
    ^"
character,falcon,yaml,52.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 8:
        age: exact age or description
           ^"
character,falcon,yaml,53.txt,empty_response,No YAML content found
character,falcon,yaml,54.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: eye color
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: hair_color
          ^"
character,falcon,yaml,56.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 5:
        - eye_color: eye color
        ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 13, column 5:
        place_of_birth: location
        ^"
character,falcon,yaml,6.txt,incorrect_syntax,"expected a single document in the stream
  in ""<unicode string>"", line 1, column 1:
    character:
    ^
but found another document
  in ""<unicode string>"", line 4, column 1:
    ---
    ^"
character,falcon,yaml,66.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 6:
         - eye_color: eye color
         ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 7:
          hair_color: hair color
          ^"
character,falcon,yaml,69.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 2, column 22:
    Error: invalid_syntax: while scanning for the next token
                         ^"
character,falcon,yaml,72.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 3, column 4:
      1:
       ^"
character,falcon,yaml,73.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 1, column 1:
    ```yaml
    ^"
character,falcon,yaml,81.txt,incorrect_syntax,"while scanning for the next token
found character '@' that cannot start any token
  in ""<unicode string>"", line 10, column 17:
       - eye_color: @eye
                    ^"
character,falcon,yaml,82.txt,key_completeness,The key 'game' is missing.
character,falcon,yaml,88.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 1, column 22:
    error: invalid_syntax: sequence entries are not allow ... 
                         ^"
character,falcon,yaml,89.txt,empty_response,No YAML content found
